# Name = UIS1
# Version = 1.0
# Location = Universidad Industrial de Santander
# Sensors = Presion, Temperatura, Humedad, Irradiancia, Iluminancia, Ruido, LLuvia, CO2, NO2, Latitud, Longitud, Nubosidad
# Power = Red
# GPS = si
# Time Zone = UTC-5
# Data = UTCtime GPStime Presion Temperatura Humedad Irradiancia Iluminancia  Ruido Lluvia CO2 NO2 Latitud Longitud Nubosidad 
1458817200.0 181646.71	998.87	20.70	78.16	7.02	216.20	-0.00	0.00	309.21	0.00	708.34	7307.27
1458817201.0 181646.71	1000.92	21.07	78.32	7.02	211.25	-0.00	0.00	309.04	0.00	708.34	7307.27
1458817202.0 181646.71	1000.51	20.89	78.32	5.27	216.20	-2.33	0.00	309.15	0.00	708.34	7307.27
1458817203.0 181646.71	1002.16	21.07	78.48	7.02	216.20	-0.00	76.34	309.15	0.00	708.34	7307.27
1458817204.0 181646.71	999.27	20.89	78.80	7.02	214.96	-2.33	76.34	309.15	0.00	708.34	7307.27
1458817205.0 181646.71	1000.51	20.89	78.64	7.02	217.45	-0.00	76.34	309.21	0.00	708.34	7307.27
1458817206.0 181646.71	1000.51	20.89	78.80	7.02	214.96	-0.00	76.34	309.15	0.00	708.34	7307.27
1458817207.0 181646.71	1000.51	20.89	78.48	5.27	214.96	-2.33	76.34	309.15	0.00	708.34	7307.27
1458817208.0 181646.71	1001.35	20.70	78.64	7.02	213.72	-0.00	76.34	309.10	0.00	708.34	7307.27
1458817209.0 181646.71	1000.11	20.70	78.32	7.02	212.48	-2.33	76.34	309.10	0.00	708.34	7307.27
1458817210.0 181646.71	1000.11	20.70	78.64	7.02	214.96	-2.33	76.34	309.21	0.00	708.34	7307.27
1458817211.0 181646.71	1001.35	20.70	78.48	7.02	212.48	-0.00	76.34	308.98	0.00	708.34	7307.27
1458817212.0 181646.71	1000.51	20.89	78.32	7.02	211.25	-0.00	76.34	309.10	0.00	708.34	7307.27
1458817213.0 181646.71	1001.75	20.89	65.82	5.27	212.48	-2.33	76.34	309.10	0.00	708.34	7307.27
1458817214.0 181646.71	1001.75	20.89	78.01	7.02	212.48	0.68	76.34	309.04	0.00	708.34	7307.27
1458817215.0 181646.71	998.87	20.70	78.32	7.02	216.20	-2.33	50.89	309.32	0.00	708.34	7307.27
