# Name = UIS1
# Version = 1.0
# Location = Universidad Industrial de Santander
# Sensors = Presion, Temperatura, Humedad, Irradiancia, Iluminancia, Ruido, LLuvia, CO2, NO2, Latitud, Longitud, Nubosidad
# Power = Red
# GPS = si
# Time Zone = UTC-5
# Data = UTCtime GPStime Presion Temperatura Humedad Irradiancia Iluminancia  Ruido Lluvia CO2 NO2 Latitud Longitud Nubosidad 
1468371600.0 100 170042.23	1002.19	20.51	89.56	0.00	227.60	-0.00	-666.00	309.77	0.00	708.35	7307.28
1468371601.0 100 170042.23	1001.78	20.33	82.28	0.00	226.32	-2.33	-666.00	309.77	0.00	708.35	7307.28
1468371602.0 100 170042.23	1002.19	20.51	90.98	0.00	221.22	-0.00	-666.00	309.49	0.00	708.35	7307.28
1468371603.0 100 170042.23	1001.78	20.33	90.66	0.00	226.32	4.66	-666.00	309.60	0.00	708.35	7307.28
1468371603.0 100 170042.23	1002.19	20.51	90.66	0.00	223.76	-2.33	-666.00	309.55	0.00	708.35	7307.28
1468371604.0 100 170042.23	1001.35	20.70	90.66	0.00	225.04	0.68	-666.00	309.60	0.00	708.35	7307.28
1468371605.0 100 170042.23	1002.19	20.51	90.66	0.00	226.32	0.68	-666.00	309.66	0.00	708.35	7307.28
1468371606.0 100 170042.23	1002.19	20.51	88.61	0.00	223.76	0.68	-666.00	309.83	0.00	708.35	7307.28
1468371606.0 100 170042.23	1002.19	20.51	82.12	0.00	226.32	2.44	-666.00	309.55	0.00	708.35	7307.28
1468371607.0 100 170042.23	1000.94	20.51	90.03	0.00	227.60	-0.00	-666.00	309.77	0.00	708.35	7307.28
1468371608.0 100 170042.23	1002.19	20.51	90.35	0.00	228.89	-2.33	-666.00	309.72	0.00	708.35	7307.28
1468371608.0 100 170042.23	1000.54	20.33	90.66	0.00	226.32	-0.00	-666.00	309.60	0.00	708.35	7307.28
1468371609.0 100 170042.23	1002.19	20.51	90.51	0.00	231.48	-2.33	-666.00	309.72	0.00	708.35	7307.28
1468371610.0 100 170042.23	1002.19	20.51	90.82	0.00	225.04	-2.33	-666.00	309.49	0.00	708.35	7307.28
1468371611.0 100 170042.23	1001.78	20.33	90.82	0.00	222.49	0.68	-666.00	309.55	473.68	708.35	7307.28
1468371611.0 100 170042.23	1000.54	20.33	90.66	0.00	222.49	-0.00	-666.00	309.66	0.00	708.35	7307.28
1468371612.0 100 170042.23	1002.19	20.51	90.66	0.00	222.49	-2.33	-666.00	309.60	0.00	708.35	7307.28
1468371613.0 100 170042.23	1000.54	20.33	90.98	0.00	221.22	-2.33	-666.00	309.43	0.00	708.35	7307.28
1468371614.0 100 170042.23	1002.19	20.51	90.51	0.00	230.18	-2.33	-666.00	309.77	0.00	708.35	7307.28
1468371614.0 100 170042.23	1002.19	20.51	90.35	0.00	230.18	3.69	-666.00	309.60	0.00	708.35	7307.28
1468371615.0 100 170042.23	1001.78	20.33	77.69	0.00	232.78	-0.00	-666.00	309.83	0.00	708.35	7307.28
1468371616.0 100 170042.23	1000.94	20.51	90.51	0.00	230.18	-2.33	-666.00	309.72	0.00	708.35	7307.28
1468371617.0 100 170042.23	1002.19	20.51	87.66	0.00	225.04	-2.33	-666.00	309.89	344.01	708.35	7307.28
1468371617.0 100 170042.23	999.70	20.51	88.92	0.00	225.04	4.66	-666.00	309.83	0.00	708.35	7307.28
1468371618.0 100 170042.23	1002.19	20.51	90.66	0.00	223.76	-2.33	-666.00	309.66	0.00	708.35	7307.28
1468371619.0 100 170042.23	1000.54	20.33	90.66	0.00	230.18	2.44	-666.00	309.60	0.00	708.35	7307.28
1468371619.0 100 170042.23	1002.19	20.51	87.97	0.00	230.18	-0.00	-666.00	309.83	0.00	708.35	7307.28
1468371620.0 100 170042.23	1002.19	20.51	84.34	0.00	223.76	-0.00	-666.00	310.00	0.00	708.35	7307.28
1468371621.0 100 170042.23	1002.19	20.51	87.34	0.00	223.76	-2.33	-666.00	309.89	0.00	708.35	7307.28
1468371622.0 100 170042.23	1002.19	20.51	90.98	0.00	225.04	-0.00	-666.00	309.49	0.00	708.35	7307.28
1468371622.0 100 170042.23	1002.19	20.51	90.66	0.00	227.60	3.69	-666.00	309.60	473.68	708.35	7307.28
1468371623.0 100 170042.23	1002.19	20.51	90.66	0.00	228.89	-2.33	-666.00	309.60	0.00	708.35	7307.28
1468371624.0 100 170042.23	1002.19	20.51	90.51	0.00	226.32	6.70	-666.00	309.72	0.00	708.35	7307.28
1468371625.0 100 170042.23	1002.19	20.51	85.76	0.00	227.60	3.69	-666.00	309.60	0.00	708.35	7307.28
1468371625.0 100 170042.23	1002.19	20.51	85.60	0.00	228.89	-2.33	-666.00	309.77	0.00	708.35	7307.28
1468371626.0 100 170042.23	1000.94	20.51	90.82	0.00	226.32	5.45	-666.00	309.55	0.00	708.35	7307.28
1468371627.0 100 170042.23	1002.19	20.51	90.03	0.00	230.18	-2.33	-666.00	309.72	0.00	708.35	7307.28
1468371628.0 100 170042.23	1002.59	20.70	89.08	0.00	226.32	-2.33	-666.00	309.83	0.00	708.35	7307.28
1468371628.0 100 170042.23	1002.59	20.70	90.82	0.00	228.89	-0.00	-666.00	309.55	0.00	708.35	7307.28
1468371629.0 100 170042.23	1002.19	20.51	90.35	0.00	228.89	-2.33	-666.00	309.72	0.00	708.35	7307.28
1468371630.0 100 170042.23	1002.19	20.51	87.50	0.00	225.04	-0.00	-666.00	309.83	0.00	708.35	7307.28
1468371630.0 100 170042.23	1002.19	20.51	90.35	0.00	227.60	-2.33	-666.00	309.72	0.00	708.35	7307.28
1468371631.0 100 170042.23	999.70	20.51	90.82	0.00	223.76	3.69	-666.00	309.55	0.00	708.35	7307.28
1468371632.0 100 170042.23	1001.78	20.33	91.46	0.00	217.45	-0.00	-666.00	309.32	0.00	708.35	7307.28
1468371633.0 100 170042.23	1000.94	20.51	90.82	0.00	226.32	3.69	-666.00	309.60	0.00	708.35	7307.28
1468371633.0 100 170042.23	1001.78	20.33	90.82	0.00	221.22	-2.33	-666.00	309.49	0.00	708.35	7307.28
1468371634.0 100 170042.23	1000.54	20.33	91.46	0.00	219.96	-0.00	-666.00	309.32	0.00	708.35	7307.28
1468371635.0 100 170042.23	1002.19	20.51	84.81	0.00	230.18	0.68	-666.00	309.94	0.00	708.35	7307.28
1468371636.0 100 170042.23	1002.19	20.51	84.49	0.00	225.04	-0.00	-666.00	310.00	0.00	708.35	7307.28
1468371636.0 100 170042.23	1000.54	20.33	90.35	0.00	222.49	0.68	-666.00	309.72	0.00	708.35	7307.28
1468371637.0 100 170042.23	1002.19	20.51	83.54	0.00	227.60	4.66	-666.00	309.66	0.00	708.35	7307.28
1468371638.0 100 170042.23	999.70	20.51	87.50	0.00	225.04	-0.00	-666.00	309.77	0.00	708.35	7307.28
1468371638.0 100 170042.23	1002.19	20.51	90.66	0.00	223.76	-2.33	-666.00	309.60	0.00	708.35	7307.28
1468371639.0 100 170042.23	1002.59	20.70	90.66	0.00	223.76	-2.33	-666.00	309.72	0.00	708.35	7307.28
1468371640.0 100 170042.23	1002.59	20.70	90.82	0.00	223.76	-0.00	-666.00	309.60	0.00	708.35	7307.28
1468371641.0 100 170042.23	1002.59	20.70	90.66	0.00	231.48	-2.33	-666.00	309.60	344.01	708.35	7307.28
1468371641.0 100 170042.23	1002.19	20.51	90.66	0.00	227.60	-0.00	-666.00	309.60	0.00	708.35	7307.28
1468371642.0 100 170042.23	1000.94	20.51	89.87	0.00	230.18	0.68	-666.00	309.72	0.00	708.35	7307.28
1468371643.0 100 170042.23	1002.19	20.51	90.51	0.00	222.49	0.68	-666.00	309.66	0.00	708.35	7307.28
1468371644.0 100 170042.23	1001.35	20.70	90.51	0.00	223.76	-2.33	-666.00	309.60	0.00	708.35	7307.28
1468371644.0 100 170042.23	1000.94	20.51	90.98	0.00	222.49	-0.00	-666.00	309.60	0.00	708.35	7307.28
1468371645.0 100 170042.23	1002.19	20.51	88.92	0.00	234.09	-2.33	-666.00	309.83	0.00	708.35	7307.28
1468371646.0 100 170042.23	1000.11	20.70	90.82	0.00	222.49	-0.00	-666.00	309.60	0.00	708.35	7307.28
1468371647.0 100 170042.23	1002.59	20.70	90.98	0.00	222.49	-0.00	-666.00	309.49	0.00	708.35	7307.28
1468371647.0 100 170042.23	1001.78	20.33	90.82	0.00	225.04	-2.33	-666.00	309.60	0.00	708.35	7307.28
1468371648.0 100 170042.23	1001.35	20.70	90.66	0.00	222.49	-0.00	-666.00	309.60	0.00	708.35	7307.28
1468371649.0 100 170042.23	1000.94	20.51	90.19	0.00	222.49	-2.33	-666.00	309.49	0.00	708.35	7307.28
1468371649.0 100 170042.23	1002.59	20.70	90.51	0.00	227.60	-2.33	-666.00	309.60	0.00	708.35	7307.28
1468371650.0 100 170042.23	1002.19	20.51	89.56	0.00	227.60	-0.00	-666.00	309.55	0.00	708.35	7307.28
1468371651.0 100 170042.23	1002.19	20.51	90.82	0.00	225.04	-0.00	-666.00	309.49	0.00	708.35	7307.28
1468371652.0 100 170042.23	1001.35	20.70	90.66	0.00	230.18	-2.33	-666.00	309.60	0.00	708.35	7307.28
1468371652.0 100 170042.23	1001.35	20.70	87.34	0.00	228.89	0.68	-666.00	309.94	0.00	708.35	7307.28
1468371653.0 100 170042.23	1000.94	20.51	90.51	0.00	225.04	-2.33	-666.00	309.66	0.00	708.35	7307.28
1468371654.0 100 170042.23	999.70	20.51	89.40	0.00	222.49	-0.00	-666.00	309.77	0.00	708.35	7307.28
1468371655.0 100 170042.23	1000.94	20.51	90.98	0.00	223.76	-2.33	-666.00	309.55	0.00	708.35	7307.28
1468371655.0 100 170042.23	1002.59	20.70	90.51	0.00	227.60	-0.00	-666.00	309.66	0.00	708.35	7307.28
1468371656.0 100 170042.23	1000.11	20.70	90.66	0.00	225.04	-2.33	-666.00	309.55	0.00	708.35	7307.28
1468371657.0 100 170042.23	998.87	20.70	90.35	0.00	230.18	0.68	-666.00	309.66	0.00	708.35	7307.28
1468371658.0 100 170042.23	1000.94	20.51	90.82	0.00	225.04	-0.00	-666.00	309.60	0.00	708.35	7307.28
1468371658.0 100 170042.23	998.46	20.51	90.66	0.00	225.04	-0.00	-666.00	309.55	0.00	708.35	7307.28
1468371659.0 100 170042.23	1002.19	20.51	88.45	0.00	223.76	-0.00	-666.00	309.77	0.00	708.35	7307.28
1468371660.0 100 170042.23	1002.59	20.70	90.66	0.00	223.76	-2.33	-666.00	309.66	0.00	708.35	7307.28
1468371660.0 100 170042.23	1002.99	20.89	90.35	0.00	225.04	0.68	-666.00	309.72	0.00	708.35	7307.28
1468371661.0 100 170042.23	1001.35	20.70	90.66	0.00	222.49	-0.00	-666.00	309.55	0.00	708.35	7307.28
1468371662.0 100 170042.23	1002.59	20.70	91.14	0.00	225.04	-0.00	-666.00	309.55	0.00	708.35	7307.28
