# Name = UIS1
# Version = 1.0
# Location = Universidad Industrial de Santander
# Sensors = Presion, Temperatura, Humedad, Irradiancia, Iluminancia, Ruido, LLuvia, CO2, NO2, Latitud, Longitud, Nubosidad
# Power = Red
# GPS = si
# Time Zone = UTC-5
# Data = UTCtime GPStime Presion Temperatura Humedad Irradiancia Iluminancia  Ruido Lluvia CO2 NO2 Latitud Longitud Nubosidad 
1461441601.0 220504.54	995.82	22.76	77.53	210.64	206.36	-0.00	1577.61	308.76	0.00	708.35	7307.27
1461441602.0 220504.54	996.22	22.94	77.06	214.15	213.72	-0.00	1552.16	309.04	0.00	708.35	7307.27
1461441603.0 220504.54	995.82	22.76	85.92	210.64	206.36	-0.00	1628.50	308.76	0.00	708.35	7307.27
1461441604.0 220504.54	997.47	22.94	79.11	215.90	212.48	-0.00	1781.17	309.04	0.00	708.35	7307.27
1461441605.0 220504.54	996.62	23.13	89.24	212.39	208.80	-0.00	1806.62	308.87	0.00	708.35	7307.27
1461441606.0 220504.54	996.22	22.94	89.56	214.15	211.25	-0.00	2035.62	309.04	0.00	708.35	7307.27
1461441607.0 220504.54	997.47	22.94	71.20	215.90	213.72	-0.00	2162.85	309.04	0.00	708.35	7307.27
1461441608.0 220504.54	997.47	22.94	82.91	214.15	208.80	-0.00	2213.74	308.93	0.00	708.35	7307.27
1461441609.0 220504.54	996.22	22.94	81.80	215.90	212.48	-0.00	2315.52	309.10	0.00	708.35	7307.27
1461441610.0 220504.54	997.07	22.76	92.56	214.15	211.25	-0.00	2366.41	309.04	0.00	708.35	7307.27
1461441611.0 220504.54	997.07	22.76	92.88	215.90	208.80	-0.00	2417.30	308.87	0.00	708.35	7307.27
1461441612.0 220504.54	997.47	22.94	86.71	217.65	216.20	-0.00	2493.64	309.21	0.00	708.35	7307.27
1461441613.0 220504.54	995.82	22.76	83.86	212.39	206.36	-0.00	2544.53	308.76	0.00	708.35	7307.27
1461441614.0 220504.54	997.07	22.76	78.01	215.90	212.48	-0.00	2620.87	309.04	0.00	708.35	7307.27
1461441615.0 220504.54	996.62	23.13	82.28	214.15	205.15	-0.00	2671.76	308.76	0.00	708.35	7307.27
1461441616.0 220504.54	997.07	22.76	83.07	214.15	208.80	-2.33	2798.98	308.93	0.00	708.35	7307.27
1461441617.0 220504.54	997.47	22.94	77.85	219.41	216.20	-0.00	2824.43	309.27	0.00	708.35	7307.27
1461441618.0 220504.54	997.07	22.76	80.22	214.15	208.80	-0.00	2900.76	308.87	0.00	708.35	7307.27
1461441619.0 220504.54	997.07	22.76	77.53	217.65	212.48	-0.00	2977.10	308.98	0.00	708.35	7307.27
1461441620.0 220504.54	997.47	22.94	87.50	215.90	208.80	-0.00	3002.54	308.93	0.00	708.35	7307.27
1461441621.0 220504.54	995.82	22.76	93.35	214.15	206.36	-0.00	3053.44	308.76	0.00	708.35	7307.27
1461441622.0 220504.54	997.07	22.76	87.82	217.65	213.72	-0.00	3104.33	309.10	0.00	708.35	7307.27
1461441623.0 220504.54	997.47	22.94	86.39	215.90	210.02	-0.00	3155.22	308.98	0.00	708.35	7307.27
1461441624.0 220504.54	997.07	22.76	87.50	217.65	211.25	-0.00	3155.22	308.93	0.00	708.35	7307.27
1461441625.0 220504.54	995.82	22.76	81.01	215.90	207.58	-0.00	3206.11	308.76	0.00	708.35	7307.27
1461441626.0 220504.54	997.07	22.76	82.91	215.90	210.02	-0.00	3257.00	308.87	0.00	708.35	7307.27
1461441627.0 220504.54	995.82	22.76	87.50	221.16	216.20	-0.00	3282.44	309.21	0.00	708.35	7307.27
1461441628.0 220504.54	997.07	22.76	82.91	219.41	214.96	-0.00	3358.78	309.10	0.00	708.35	7307.27
1461441628.0 220504.54	997.07	22.76	88.13	217.65	211.25	-0.00	3536.90	309.04	473.68	708.35	7307.27
1461441629.0 220504.54	995.82	22.76	88.92	215.90	210.02	-0.00	3486.01	308.87	0.00	708.35	7307.27
1461441630.0 220504.54	995.82	22.76	91.30	214.15	206.36	-0.00	3435.11	308.76	0.00	708.35	7307.27
1461441631.0 220504.54	997.07	22.76	88.92	219.41	212.48	-0.00	3486.01	309.04	0.00	708.35	7307.27
1461441632.0 220504.54	997.07	22.76	87.50	217.65	210.02	-0.00	3409.67	308.93	0.00	708.35	7307.27
1461441633.0 220504.54	996.67	22.57	86.23	215.90	205.15	-0.00	3358.78	308.70	0.00	708.35	7307.27
1461441634.0 220504.54	997.07	22.76	86.23	215.90	208.80	-0.00	3307.89	308.87	0.00	708.35	7307.27
1461441635.0 220504.54	996.67	22.57	84.97	215.90	206.36	-0.00	3231.55	308.76	0.00	708.35	7307.27
1461441636.0 220504.54	995.42	22.57	73.10	215.90	205.15	-0.00	3180.66	308.70	0.00	708.35	7307.27
1461441637.0 220504.54	997.07	22.76	75.16	217.65	210.02	-0.00	3104.33	308.98	0.00	708.35	7307.27
1461441638.0 220504.54	997.07	22.76	68.04	215.90	205.15	-0.00	3053.44	308.76	0.00	708.35	7307.27
1461441639.0 220504.54	997.91	22.57	82.75	215.90	205.15	-2.33	2977.10	308.87	0.00	708.35	7307.27
1461441640.0 220504.54	995.82	22.76	73.73	217.65	208.80	-0.00	2926.21	308.87	0.00	708.35	7307.27
1461441641.0 220504.54	995.82	22.76	75.79	215.90	206.36	-0.00	2875.32	308.76	0.00	708.35	7307.27
1461441642.0 220504.54	997.07	22.76	67.72	221.16	212.48	-0.00	2824.43	309.10	0.00	708.35	7307.27
1461441643.0 220504.54	995.82	22.76	67.72	219.41	208.80	-0.00	2773.54	308.87	0.00	708.35	7307.27
1461441644.0 220504.54	997.07	22.76	70.73	217.65	205.15	-0.00	2722.65	308.76	0.00	708.35	7307.27
1461441645.0 220504.54	995.82	22.76	71.68	219.41	208.80	-0.00	2671.76	308.87	0.00	708.35	7307.27
1461441646.0 220504.54	997.07	22.76	75.95	219.41	208.80	-0.00	2620.87	308.87	0.00	708.35	7307.27
1461441647.0 220504.54	997.07	22.76	83.39	222.92	213.72	-0.00	2773.54	309.15	0.00	708.35	7307.27
1461441648.0 220504.54	997.07	22.76	79.27	217.65	205.15	-0.00	2722.65	308.76	0.00	708.35	7307.27
1461441649.0 220504.54	997.07	22.76	75.79	219.41	208.80	-0.00	2671.76	308.87	0.00	708.35	7307.27
1461441650.0 220504.54	995.82	22.76	75.16	221.16	208.80	-0.00	2620.87	308.87	0.00	708.35	7307.27
1461441651.0 220504.54	995.82	22.76	74.37	219.41	208.80	-0.00	2569.97	308.87	0.00	708.35	7307.27
1461441652.0 220504.54	997.07	22.76	79.11	221.16	210.02	-0.00	2519.08	308.93	0.00	708.35	7307.27
1461441653.0 220504.54	997.07	22.76	77.06	219.41	208.80	-0.00	2468.19	308.93	0.00	708.35	7307.27
1461441654.0 220504.54	997.07	22.76	79.59	221.16	208.80	-0.00	2417.30	308.87	0.00	708.35	7307.27
1461441655.0 220504.54	997.07	22.76	82.91	219.41	206.36	-0.00	2366.41	308.76	0.00	708.35	7307.27
1461441656.0 220504.54	995.82	22.76	82.44	221.16	208.80	-0.00	2340.97	308.87	0.00	708.35	7307.27
1461441657.0 220504.54	994.57	22.76	79.27	221.16	210.02	-0.00	2290.08	308.98	0.00	708.35	7307.27
1461441658.0 220504.54	997.07	22.76	79.59	221.16	207.58	-0.00	2239.19	308.87	0.00	708.35	7307.27
1461441659.0 220504.54	995.82	22.76	78.48	222.92	212.48	-0.00	2290.08	309.10	0.00	708.35	7307.27
1461441660.0 220504.54	997.47	22.94	79.59	221.16	208.80	-0.00	2315.52	308.93	0.00	708.35	7307.27
1461441661.0 220504.54	995.82	22.76	73.73	222.92	208.80	-0.00	2391.86	308.87	0.00	708.35	7307.27
1461441662.0 220504.54	995.82	22.76	75.32	222.92	210.02	-0.00	2569.97	308.93	0.00	708.35	7307.27
1461441663.0 220504.54	996.62	23.13	79.11	222.92	208.80	-0.00	2544.53	308.93	0.00	708.35	7307.27
1461441664.0 220504.54	995.82	22.76	74.21	222.92	208.80	-0.00	2519.08	308.87	0.00	708.35	7307.27
1461441665.0 220504.54	997.07	22.76	92.09	221.16	208.80	-0.00	2468.19	308.87	0.00	708.35	7307.27
1461441666.0 220504.54	997.07	22.76	93.04	222.92	208.80	-0.00	2417.30	308.93	0.00	708.35	7307.27
1461441667.0 220504.54	997.07	22.76	87.34	224.67	210.02	-0.00	2366.41	308.98	0.00	708.35	7307.27
1461441668.0 220504.54	997.07	22.76	83.86	221.16	205.15	-0.00	2315.52	308.76	0.00	708.35	7307.27
1461441669.0 220504.54	997.47	22.94	78.16	222.92	208.80	-0.00	2264.63	308.87	0.00	708.35	7307.27
1461441670.0 220504.54	997.07	22.76	91.61	222.92	208.80	-0.00	2213.74	308.87	0.00	708.35	7307.27
1461441671.0 220504.54	997.47	22.94	91.30	222.92	208.80	-0.00	2188.30	308.87	0.00	708.35	7307.27
1461441672.0 220504.54	997.07	22.76	86.55	224.67	208.80	-0.00	2137.40	309.04	0.00	708.35	7307.27
1461441673.0 220504.54	995.82	22.76	92.09	222.92	208.80	-0.00	2111.96	308.87	0.00	708.35	7307.27
1461441674.0 220504.54	995.82	22.76	82.59	221.16	206.36	-0.00	2061.07	308.76	0.00	708.35	7307.27
1461441675.0 220504.54	995.82	22.76	73.58	222.92	206.36	-0.00	2035.62	308.76	0.00	708.35	7307.27
1461441676.0 220504.54	997.07	22.76	82.91	224.67	208.80	-0.00	1984.73	308.93	0.00	708.35	7307.27
1461441677.0 220504.54	995.82	22.76	74.53	224.67	210.02	-0.00	1933.84	308.93	0.00	708.35	7307.27
1461441678.0 220504.54	995.82	22.76	69.62	224.67	208.80	-0.00	1908.40	308.87	0.00	708.35	7307.27
1461441679.0 220504.54	997.47	22.94	88.77	224.67	208.80	-0.00	1882.95	308.93	0.00	708.35	7307.27
1461441680.0 220504.54	997.07	22.76	87.18	222.92	205.15	-0.00	1832.06	308.70	0.00	708.35	7307.27
1461441681.0 220504.54	995.82	22.76	92.72	226.43	208.80	-0.00	1806.62	308.87	0.00	708.35	7307.27
1461441682.0 220504.54	997.07	22.76	87.66	226.43	210.02	-0.00	1755.73	308.93	0.00	708.35	7307.27
1461441683.0 220504.54	997.07	22.76	79.43	222.92	206.36	-0.00	1730.28	308.76	0.00	708.35	7307.27
1461441684.0 220504.54	995.82	22.76	73.58	226.43	208.80	-2.33	1704.83	308.93	0.00	708.35	7307.27
1461441685.0 220504.54	995.82	22.76	75.79	222.92	206.36	-0.00	1679.39	308.76	0.00	708.35	7307.27
1461441686.0 220504.54	997.07	22.76	70.73	226.43	208.80	-0.00	1628.50	308.82	0.00	708.35	7307.27
1461441686.0 220504.54	995.82	22.76	56.65	228.18	212.48	-0.00	1603.05	309.15	0.00	708.35	7307.27
1461441687.0 220504.54	997.07	22.76	67.41	226.43	210.02	-0.00	1577.61	308.93	0.00	708.35	7307.27
1461441688.0 220504.54	996.22	22.94	63.29	226.43	208.80	-0.00	1552.16	308.87	0.00	708.35	7307.27
1461441689.0 220504.54	995.82	22.76	64.24	224.67	205.15	-0.00	1501.27	308.76	0.00	708.35	7307.27
1461441690.0 220504.54	995.82	22.76	57.12	226.43	208.80	-0.00	1475.83	308.87	0.00	708.35	7307.27
1461441691.0 220504.54	996.22	22.94	66.93	226.43	208.80	-0.00	1450.38	308.93	0.00	708.35	7307.27
1461441692.0 220504.54	997.47	22.94	56.33	228.18	213.72	-0.00	1424.94	309.10	0.00	708.35	7307.27
1461441693.0 220504.54	997.07	22.76	68.04	229.93	212.48	-0.00	1501.27	309.04	0.00	708.35	7307.27
1461441694.0 220504.54	997.07	22.76	70.25	226.43	208.80	-0.00	1552.16	308.93	0.00	708.35	7307.27
1461441695.0 220504.54	996.22	22.94	80.06	228.18	208.80	-0.00	1653.94	308.87	0.00	708.35	7307.27
1461441696.0 220504.54	997.07	22.76	77.37	226.43	210.02	-0.00	1755.73	308.93	0.00	708.35	7307.27
1461441697.0 220504.54	995.82	22.76	67.56	233.44	216.20	-0.00	1806.62	309.27	0.00	708.35	7307.27
1461441698.0 220504.54	995.82	22.76	72.15	224.67	205.15	-0.00	1882.95	308.70	0.00	708.35	7307.27
1461441699.0 220504.54	995.82	22.76	87.34	228.18	210.02	-0.00	1984.73	308.93	0.00	708.35	7307.27
1461441700.0 220504.54	994.97	22.94	75.79	228.18	207.58	-0.00	2010.18	308.87	0.00	708.35	7307.27
1461441701.0 220504.54	997.07	22.76	76.42	228.18	208.80	-0.00	1984.73	308.93	0.00	708.35	7307.27
1461441702.0 220504.54	995.82	22.76	75.32	231.69	212.48	-0.00	1933.84	309.10	0.00	708.35	7307.27
1461441703.0 220504.54	995.82	22.76	77.85	228.18	210.02	-0.00	1908.40	308.93	0.00	708.35	7307.27
1461441704.0 220504.54	995.82	22.76	80.38	228.18	208.80	-0.00	1857.51	308.87	0.00	708.35	7307.27
1461441705.0 220504.54	995.82	22.76	77.37	229.93	208.80	-0.00	1832.06	308.93	0.00	708.35	7307.27
1461441706.0 220504.54	996.22	22.94	73.10	228.18	208.80	-0.00	1781.17	308.87	0.00	708.35	7307.27
1461441707.0 220504.54	996.62	23.13	72.94	231.69	212.48	-2.33	1755.73	309.10	0.00	708.35	7307.27
1461441708.0 220504.54	996.22	22.94	80.54	229.93	208.80	-0.00	1730.28	308.93	0.00	708.35	7307.27
1461441709.0 220504.54	996.22	22.94	81.80	229.93	208.80	-0.00	1679.39	308.93	0.00	708.35	7307.27
1461441710.0 220504.54	995.82	22.76	86.71	229.93	208.80	-0.00	1653.94	308.87	0.00	708.35	7307.27
1461441711.0 220504.54	995.82	22.76	87.18	229.93	208.80	-0.00	1628.50	308.87	0.00	708.35	7307.27
1461441712.0 220504.54	995.82	22.76	85.28	233.44	212.48	-0.00	1603.05	309.10	0.00	708.35	7307.27
1461441713.0 220504.54	996.62	23.13	88.45	229.93	210.02	-0.00	1577.61	308.93	0.00	708.35	7307.27
1461441714.0 220504.54	995.82	22.76	80.22	229.93	208.80	-0.00	1526.72	308.87	0.00	708.35	7307.27
1461441715.0 220504.54	995.82	22.76	91.93	229.93	210.02	-0.00	1501.27	308.87	0.00	708.35	7307.27
1461441716.0 220504.54	996.22	22.94	86.23	229.93	208.80	-0.00	1475.83	308.93	0.00	708.35	7307.27
1461441717.0 220504.54	997.87	23.13	84.65	233.44	213.72	-0.00	1450.38	309.10	0.00	708.35	7307.27
1461441718.0 220504.54	996.22	22.94	77.53	229.93	208.80	-0.00	1424.94	308.87	0.00	708.35	7307.27
